Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs	Gene Ontology (GO)	Function [CC]
A0A0R2M3S6	A0A0R2M3S6_9LACO	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	pfkA IV64_GL000725	Lactiplantibacillus xiangfangensis	320	GO:0003872; GO:0005524; GO:0005945; GO:0006002; GO:0016208; GO:0030388; GO:0042802; GO:0048029; GO:0061621; GO:0070095	6-phosphofructokinase complex [GO:0005945]; 6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; monosaccharide binding [GO:0048029]; canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]	FUNCTION: Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis. {ECO:0000256|ARBA:ARBA00002659, ECO:0000256|HAMAP-Rule:MF_00339}.
A0A0R2MB20	A0A0R2MB20_9LACO	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (Phosphopantothenoylcysteine synthetase) (PPC synthetase) (PPC-S)]	coaBC IV64_GL000523	Lactiplantibacillus xiangfangensis	407	GO:0004632; GO:0004633; GO:0010181; GO:0015937; GO:0015941; GO:0071513	phosphopantothenoylcysteine decarboxylase complex [GO:0071513]; FMN binding [GO:0010181]; phosphopantothenate--cysteine ligase activity [GO:0004632]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]; coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]	FUNCTION: Catalyzes two sequential steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine. In the second step the latter compound is decarboxylated to form 4'-phosphopantotheine. {ECO:0000256|HAMAP-Rule:MF_02225}.; FUNCTION: Catalyzes two steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine, in the latter compound is decarboxylated to form 4'-phosphopantotheine. {ECO:0000256|RuleBase:RU364078}.
A0A0R2MBA0	A0A0R2MBA0_9LACO	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS IV64_GL002735	Lactiplantibacillus xiangfangensis	423	GO:0004828; GO:0005524; GO:0005737; GO:0006434; GO:0016260; GO:0016740; GO:0140096	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; catalytic activity, acting on a protein [GO:0140096]; serine-tRNA ligase activity [GO:0004828]; transferase activity [GO:0016740]; L-selenocysteine biosynthetic process [GO:0016260]; seryl-tRNA aminoacylation [GO:0006434]	FUNCTION: Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec). {ECO:0000256|HAMAP-Rule:MF_00176}.
A0A0R2MCZ6	A0A0R2MCZ6_9LACO	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS IV64_GL002388	Lactiplantibacillus xiangfangensis	420	GO:0004828; GO:0005524; GO:0005737; GO:0006434; GO:0016260; GO:0016740; GO:0140096	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; catalytic activity, acting on a protein [GO:0140096]; serine-tRNA ligase activity [GO:0004828]; transferase activity [GO:0016740]; L-selenocysteine biosynthetic process [GO:0016260]; seryl-tRNA aminoacylation [GO:0006434]	FUNCTION: Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec). {ECO:0000256|HAMAP-Rule:MF_00176}.
A0A0R2MEZ8	A0A0R2MEZ8_9LACO	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG IV64_GL002733	Lactiplantibacillus xiangfangensis	536	GO:0003883; GO:0004359; GO:0005829; GO:0019856; GO:0042802; GO:0044210; GO:0097268	cytoophidium [GO:0097268]; cytosol [GO:0005829]; CTP synthase activity [GO:0003883]; glutaminase activity [GO:0004359]; identical protein binding [GO:0042802]; 'de novo' CTP biosynthetic process [GO:0044210]; pyrimidine nucleobase biosynthetic process [GO:0019856]	FUNCTION: Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen. Regulates intracellular CTP levels through interactions with the four ribonucleotide triphosphates. {ECO:0000256|HAMAP-Rule:MF_01227}.
A0A0R2MHR4	A0A0R2MHR4_9LACO	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU IV64_GL002723	Lactiplantibacillus xiangfangensis	460	GO:0000287; GO:0000902; GO:0003977; GO:0005737; GO:0006048; GO:0009245; GO:0009252; GO:0019134	cytoplasm [GO:0005737]; glucosamine-1-phosphate N-acetyltransferase activity [GO:0019134]; magnesium ion binding [GO:0000287]; UDP-N-acetylglucosamine diphosphorylase activity [GO:0003977]; cell morphogenesis [GO:0000902]; lipid A biosynthetic process [GO:0009245]; peptidoglycan biosynthetic process [GO:0009252]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]	FUNCTION: Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP-GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5-monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain. {ECO:0000256|ARBA:ARBA00049628, ECO:0000256|HAMAP-Rule:MF_01631}.
A0A0R2MLW5	A0A0R2MLW5_9LACO	Carbamoyl phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl phosphate synthetase glutamine chain)	carA IV64_GL000420	Lactiplantibacillus xiangfangensis	364	GO:0004088; GO:0004359; GO:0005524; GO:0006207; GO:0006526; GO:0006541; GO:0044205	ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; glutaminase activity [GO:0004359]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; L-arginine biosynthetic process [GO:0006526]; L-glutamine metabolic process [GO:0006541]	FUNCTION: Small subunit of the glutamine-dependent carbamoyl phosphate synthetase (CPSase). CPSase catalyzes the formation of carbamoyl phosphate from the ammonia moiety of glutamine, carbonate, and phosphate donated by ATP, constituting the first step of 2 biosynthetic pathways, one leading to arginine and/or urea and the other to pyrimidine nucleotides. The small subunit (glutamine amidotransferase) binds and cleaves glutamine to supply the large subunit with the substrate ammonia. {ECO:0000256|HAMAP-Rule:MF_01209}.
A0A0R2MLZ8	A0A0R2MLZ8_9LACO	Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain)	carB IV64_GL000421	Lactiplantibacillus xiangfangensis	1048	GO:0004087; GO:0004088; GO:0005524; GO:0005737; GO:0006526; GO:0006541; GO:0044205; GO:0046872	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]; 'de novo' UMP biosynthetic process [GO:0044205]; L-arginine biosynthetic process [GO:0006526]; L-glutamine metabolic process [GO:0006541]	FUNCTION: Large subunit of the glutamine-dependent carbamoyl phosphate synthetase (CPSase). CPSase catalyzes the formation of carbamoyl phosphate from the ammonia moiety of glutamine, carbonate, and phosphate donated by ATP, constituting the first step of 2 biosynthetic pathways, one leading to arginine and/or urea and the other to pyrimidine nucleotides. The large subunit (synthetase) binds the substrates ammonia (free or transferred from glutamine from the small subunit), hydrogencarbonate and ATP and carries out an ATP-coupled ligase reaction, activating hydrogencarbonate by forming carboxy phosphate which reacts with ammonia to form carbamoyl phosphate. {ECO:0000256|HAMAP-Rule:MF_01210}.; FUNCTION: Small subunit of the glutamine-dependent carbamoyl phosphate synthetase (CPSase). CPSase catalyzes the formation of carbamoyl phosphate from the ammonia moiety of glutamine, carbonate, and phosphate donated by ATP, constituting the first step of the biosynthetic pathway leading to pyrimidine nucleotides. The large subunit (synthetase) binds the substrates ammonia (free or transferred from glutamine from the small subunit), hydrogencarbonate and ATP and carries out an ATP-coupled ligase reaction, activating hydrogencarbonate by forming carboxy phosphate which reacts with ammonia to form carbamoyl phosphate. {ECO:0000256|ARBA:ARBA00060037}.
A0A0R2MMI9	A0A0R2MMI9_9LACO	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE IV64_GL001778	Lactiplantibacillus xiangfangensis	493	GO:0000287; GO:0005524; GO:0005737; GO:0008360; GO:0008765; GO:0009252; GO:0051301	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity [GO:0008765]; cell division [GO:0051301]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	FUNCTION: Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan. {ECO:0000256|ARBA:ARBA00056782, ECO:0000256|HAMAP-Rule:MF_00208}.
A0A0R2ND15	A0A0R2ND15_9LACO	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	pfkA DY78_GL001772	Lactiplantibacillus fabifermentans DSM 21115	320	GO:0003872; GO:0005524; GO:0005945; GO:0006002; GO:0016208; GO:0030388; GO:0042802; GO:0048029; GO:0061621; GO:0070095	6-phosphofructokinase complex [GO:0005945]; 6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; monosaccharide binding [GO:0048029]; canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]	FUNCTION: Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis. {ECO:0000256|ARBA:ARBA00002659, ECO:0000256|HAMAP-Rule:MF_00339}.
A0A0R2NGV7	A0A0R2NGV7_9LACO	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU DY78_GL001383	Lactiplantibacillus fabifermentans DSM 21115	460	GO:0000287; GO:0000902; GO:0003977; GO:0005737; GO:0006048; GO:0009245; GO:0009252; GO:0019134	cytoplasm [GO:0005737]; glucosamine-1-phosphate N-acetyltransferase activity [GO:0019134]; magnesium ion binding [GO:0000287]; UDP-N-acetylglucosamine diphosphorylase activity [GO:0003977]; cell morphogenesis [GO:0000902]; lipid A biosynthetic process [GO:0009245]; peptidoglycan biosynthetic process [GO:0009252]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]	FUNCTION: Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP-GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5-monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain. {ECO:0000256|ARBA:ARBA00049628, ECO:0000256|HAMAP-Rule:MF_01631}.
A0A0R2NND3	A0A0R2NND3_9LACO	Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain)	carB DY78_GL000239	Lactiplantibacillus fabifermentans DSM 21115	1048	GO:0004087; GO:0004088; GO:0005524; GO:0005737; GO:0006526; GO:0006541; GO:0044205; GO:0046872	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]; 'de novo' UMP biosynthetic process [GO:0044205]; L-arginine biosynthetic process [GO:0006526]; L-glutamine metabolic process [GO:0006541]	FUNCTION: Large subunit of the glutamine-dependent carbamoyl phosphate synthetase (CPSase). CPSase catalyzes the formation of carbamoyl phosphate from the ammonia moiety of glutamine, carbonate, and phosphate donated by ATP, constituting the first step of 2 biosynthetic pathways, one leading to arginine and/or urea and the other to pyrimidine nucleotides. The large subunit (synthetase) binds the substrates ammonia (free or transferred from glutamine from the small subunit), hydrogencarbonate and ATP and carries out an ATP-coupled ligase reaction, activating hydrogencarbonate by forming carboxy phosphate which reacts with ammonia to form carbamoyl phosphate. {ECO:0000256|HAMAP-Rule:MF_01210}.; FUNCTION: Small subunit of the glutamine-dependent carbamoyl phosphate synthetase (CPSase). CPSase catalyzes the formation of carbamoyl phosphate from the ammonia moiety of glutamine, carbonate, and phosphate donated by ATP, constituting the first step of the biosynthetic pathway leading to pyrimidine nucleotides. The large subunit (synthetase) binds the substrates ammonia (free or transferred from glutamine from the small subunit), hydrogencarbonate and ATP and carries out an ATP-coupled ligase reaction, activating hydrogencarbonate by forming carboxy phosphate which reacts with ammonia to form carbamoyl phosphate. {ECO:0000256|ARBA:ARBA00060037}.
