Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs	Gene Ontology (GO)
O06724	YISK_BACSU	Oxaloacetate tautomerase YisK (EC 5.3.2.2) (Oxaloacetate decarboxylase YisK) (EC 4.1.1.112)	yisK BSU10750	Bacillus subtilis (strain 168)	301	GO:0005737; GO:0006107; GO:0008948; GO:0018773; GO:0050163	cytoplasm [GO:0005737]; acetylpyruvate hydrolase activity [GO:0018773]; oxaloacetate decarboxylase activity [GO:0008948]; oxaloacetate tautomerase activity [GO:0050163]; oxaloacetate metabolic process [GO:0006107]
O06728	YISP_BACSU	Farnesyl diphosphate phosphatase YisP (EC 3.1.7.6)	yisP yucD BSU10810	Bacillus subtilis (strain 168)	267	GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]
O06967	BMRA_BACSU	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA (EC 7.6.2.-)	bmrA yvcC BSU34820	Bacillus subtilis (strain 168)	589	GO:0005524; GO:0005886; GO:0016887; GO:0034040; GO:0140359	plasma membrane [GO:0005886]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled lipid transmembrane transporter activity [GO:0034040]
O07006	PADC_BACSU	Phenolic acid decarboxylase PadC (PAD) (EC 4.1.1.102)	padC pad yveH BSU34400	Bacillus subtilis (strain 168)	161	GO:0016831	carboxy-lyase activity [GO:0016831]
O07012	BGAL2_BACSU	Beta-galactosidase GanA (Beta-gal) (EC 3.2.1.23) (Beta-1,4-galactooligomerase) (Galactooligomerase)	ganA galO lacA yvfN BSU34130	Bacillus subtilis (strain 168)	672	GO:0004565; GO:0006012; GO:0009341	beta-galactosidase complex [GO:0009341]; beta-galactosidase activity [GO:0004565]; galactose metabolic process [GO:0006012]
O07532	LYTF_BACSU	Peptidoglycan endopeptidase LytF (EC 3.4.-.-) (Autolysin LytF) (Cell wall-associated polypeptide CWBP49') (Gamma-D-glutamate-meso-diaminopimelate muropeptidase LytF) (Peptidoglycan hydrolase LytF) (Vegetative cell wall hydrolase LytF)	lytF cwlE yhdD BSU09370	Bacillus subtilis (strain 168)	488	GO:0000270; GO:0008932	lytic endotransglycosylase activity [GO:0008932]; peptidoglycan metabolic process [GO:0000270]
O07566	NTDA_BACSU	3-oxo-glucose-6-phosphate:glutamate aminotransferase (EC 2.6.1.104) (3-dehydro-glucose-6-phosphate--glutamate transaminase) (Kanosamine 6-phosphate transaminase)	ntdA yhjL BSU10550	Bacillus subtilis (strain 168)	441	GO:0000271; GO:0008483; GO:0017000; GO:0030170	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; antibiotic biosynthetic process [GO:0017000]; polysaccharide biosynthetic process [GO:0000271]
O07595	NPD_BACSU	NAD-dependent protein deacetylase (EC 2.3.1.286) (NAD-dependent sirtuin deacylase) (Regulatory protein SIR2 homolog)	srtN cobB yhdZ BSU09650	Bacillus subtilis (strain 168)	247	GO:0003950; GO:0005737; GO:0008270; GO:0034979; GO:0070403; GO:0140391	cytoplasm [GO:0005737]; NAD+ binding [GO:0070403]; NAD+ poly-ADP-ribosyltransferase activity [GO:0003950]; NAD-dependent protein lysine deacetylase activity [GO:0034979]; zinc ion binding [GO:0008270]; negative regulation of acetyl-CoA biosynthesis [GO:0140391]
O07600	FABH2_BACSU	Beta-ketoacyl-[acyl-carrier-protein] synthase III 2 (Beta-ketoacyl-ACP synthase III 2) (KAS III 2) (EC 2.3.1.180) (EC 2.3.1.300) (3-oxoacyl-[acyl-carrier-protein] synthase 3 2) (3-oxoacyl-[acyl-carrier-protein] synthase III 2) (Branched-chain beta-ketoacyl-[acyl-carrier-protein] synthase 2) (bFabH2)	fabHB fabH2 yhfB BSU10170	Bacillus subtilis (strain 168)	325	GO:0004315; GO:0005737; GO:0006633; GO:0033818; GO:0044550	cytoplasm [GO:0005737]; 3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; beta-ketoacyl-acyl-carrier-protein synthase III activity [GO:0033818]; fatty acid biosynthetic process [GO:0006633]; secondary metabolite biosynthetic process [GO:0044550]
O07623	SBOA_BACSU	Subtilosin-A (Antilisterial bacteriocin subtilosin)	sboA sbo BSU37350	Bacillus subtilis (strain 168)	43	GO:0005576	extracellular region [GO:0005576]
O08336	CYPB_BACSU	Bifunctional cytochrome P450/NADPH--P450 reductase 2 (CYP102A3) (Fatty acid hydroxylase CypB) (Flavocytochrome P450 102A3) [Includes: Cytochrome P450 102A3 (EC 1.14.14.1); NADPH--cytochrome P450 reductase (EC 1.6.2.4)]	cypB cyp102A3 yrhJ BSU27160	Bacillus subtilis (strain 168)	1054	GO:0003958; GO:0005504; GO:0005506; GO:0005829; GO:0010181; GO:0016712; GO:0019395; GO:0020037; GO:0050660; GO:0070330	cytosol [GO:0005829]; aromatase activity [GO:0070330]; fatty acid binding [GO:0005504]; flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; NADPH-hemoprotein reductase activity [GO:0003958]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]; fatty acid oxidation [GO:0019395]
O08394	CYPD_BACSU	Bifunctional cytochrome P450/NADPH--P450 reductase 1 (CYP102A2) (Fatty acid hydroxylase CypD) (Flavocytochrome P450 102A2) [Includes: Cytochrome P450 102A2 (EC 1.14.14.1); NADPH--cytochrome P450 reductase (EC 1.6.2.4)]	cypD cyp102A2 yetO yfnJ BSU07250	Bacillus subtilis (strain 168)	1061	GO:0003958; GO:0005504; GO:0005506; GO:0005829; GO:0010181; GO:0016712; GO:0019395; GO:0020037; GO:0050660; GO:0070330	cytosol [GO:0005829]; aromatase activity [GO:0070330]; fatty acid binding [GO:0005504]; flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; NADPH-hemoprotein reductase activity [GO:0003958]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]; fatty acid oxidation [GO:0019395]
O31156	PHNX_BACCE	Phosphonoacetaldehyde hydrolase (Phosphonatase) (EC 3.11.1.1) (Phosphonoacetaldehyde phosphonohydrolase)	phnX	Bacillus cereus	264	GO:0000287; GO:0005829; GO:0006281; GO:0008967; GO:0019700; GO:0050194	cytosol [GO:0005829]; magnesium ion binding [GO:0000287]; phosphoglycolate phosphatase activity [GO:0008967]; phosphonoacetaldehyde hydrolase activity [GO:0050194]; DNA repair [GO:0006281]; organic phosphonate catabolic process [GO:0019700]
O31422	SKFA_BACSU	Sporulation killing factor (SKF) (Sporulation-killing factor SkfA)	skfA ybcO BSU01910	Bacillus subtilis (strain 168)	55	GO:0005576	extracellular region [GO:0005576]
O31461	ILVE1_BACSU	Branched-chain-amino-acid transaminase 1 (BCAT 1) (EC 2.6.1.42)	ilvE ybgE BSU02390	Bacillus subtilis (strain 168)	356	GO:0006550; GO:0006574; GO:0009098; GO:0009099; GO:0052654; GO:0052655; GO:0052656	L-isoleucine:2-oxoglutarate transaminase activity [GO:0052656]; L-leucine:2-oxoglutarate transaminase activity [GO:0052654]; L-valine:2-oxoglutarate transaminase activity [GO:0052655]; L-isoleucine catabolic process [GO:0006550]; L-leucine biosynthetic process [GO:0009098]; L-valine biosynthetic process [GO:0009099]; L-valine catabolic process [GO:0006574]
O31523	RHGT1_BACSU	Rhamnogalacturonan acetylesterase RhgT (RGAE) (EC 3.1.1.-)	rhgT yesT BSU07020	Bacillus subtilis (strain 168)	232	GO:0046575	rhamnogalacturonan acetylesterase activity [GO:0046575]
O31526	YESW_BACSU	Rhamnogalacturonan endolyase YesW (EC 4.2.2.23)	yesW BSU07050	Bacillus subtilis (strain 168)	620	GO:0005576; GO:0102210	extracellular region [GO:0005576]; rhamnogalacturonan endolyase activity [GO:0102210]
O31539	CALJ_BACSU	pH-sensitive calcium channel (BsYetJ) (pH-dependent, voltage-gated calcium channel) (pH-sensitive calcium-leak channel)	calJ yetJ BSU07200	Bacillus subtilis (strain 168)	214	GO:0005262; GO:0005886; GO:0006816; GO:0016020; GO:0030162	membrane [GO:0016020]; plasma membrane [GO:0005886]; calcium channel activity [GO:0005262]; calcium ion transport [GO:0006816]; regulation of proteolysis [GO:0030162]
O31590	CSPR_BACSU	tRNA (cytidine(34)/5-carboxymethylaminomethyluridine(34)/guanosine(34)-2'-O)-methyltransferase (EC 2.1.1.207) (tRNA (cytidine(34)-2'-O)-methyltransferase) (tRNA (cytidine/uridine/guanosine-2'-O-)-methyltransferase)	cspR ygaR BSU08930	Bacillus subtilis (strain 168)	160	GO:0002130; GO:0003723; GO:0005737; GO:0042802; GO:0141098; GO:0141102	cytoplasm [GO:0005737]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]; tRNA (5-carboxymethylaminomethyluridine(34)-2'-O-ribose)-methyltransferase activity [GO:0141102]; tRNA (cytidine(34)-2'-O-ribose)-methyltransferase activity [GO:0141098]; wobble position ribose methylation [GO:0002130]
O31602	SPX_BACSU	Global transcriptional regulator Spx (Redox-responsive transcription factor Spx) (Suppressor of clpP and clpX) (Spx)	spx spxA yjbD BSU11500	Bacillus subtilis (strain 168)	131	GO:0005737; GO:0045892	cytoplasm [GO:0005737]; negative regulation of DNA-templated transcription [GO:0045892]
O31608	CWLQ_BACSU	Bifunctional muramidase/lytic transglycosylase CwlQ (EC 3.2.1.17) (EC 4.2.2.n1)	cwlQ yjbJ BSU11570	Bacillus subtilis (strain 168)	181	GO:0000270; GO:0003796; GO:0005576; GO:0016020; GO:0140100	extracellular region [GO:0005576]; membrane [GO:0016020]; lysozyme activity [GO:0003796]; lytic exotransglycosylase activity [GO:0140100]; peptidoglycan metabolic process [GO:0000270]
O31611	YJBM_BACSU	GTP pyrophosphokinase YjbM (EC 2.7.6.5) ((p)ppGpp synthase YjbM) (Small alarmone synthase 1) (SAS 1)	yjbM BSU11600	Bacillus subtilis (strain 168)	211	GO:0008728; GO:0015970	GTP diphosphokinase activity [GO:0008728]; guanosine tetraphosphate biosynthetic process [GO:0015970]
O31612	NADK1_BACSU	NAD kinase 1 (EC 2.7.1.23) (ATP-dependent NAD kinase) (Poly(P)-dependent NAD kinase) (PPNK)	ppnKA nadF yjbN BSU11610	Bacillus subtilis (strain 168)	266	GO:0003951; GO:0005524; GO:0005829; GO:0006741; GO:0019674; GO:0046872; GO:0051287	cytosol [GO:0005829]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; NAD+ kinase activity [GO:0003951]; NAD+ metabolic process [GO:0019674]; NADP+ biosynthetic process [GO:0006741]
O31616	GLYOX_BACSU	Glycine oxidase (GO) (EC 1.4.3.19)	thiO goxB yjbR BSU11670	Bacillus subtilis (strain 168)	369	GO:0005737; GO:0006520; GO:0009228; GO:0009229; GO:0043799; GO:0071949	cytoplasm [GO:0005737]; FAD binding [GO:0071949]; glycine oxidase activity [GO:0043799]; amino acid metabolic process [GO:0006520]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]
O31618	THIG_BACSU	Thiazole synthase (EC 2.8.1.10)	thiG yjbT BSU11690	Bacillus subtilis (strain 168)	256	GO:0005737; GO:0009228; GO:0009229; GO:1902508; GO:1990107	2-iminoacetate synthase complex [GO:1902508]; cytoplasm [GO:0005737]; thiazole synthase activity [GO:1990107]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]
O31644	MANR_BACSU	Transcriptional regulator ManR (Mannose operon transcriptional activator) [Includes: Putative phosphotransferase enzyme IIB component (EC 2.7.1.191) (Putative PTS system EIIB component); Putative phosphotransferase enzyme IIA component (Putative PTS system EIIA component)]	manR BSU12000	Bacillus subtilis (strain 168)	648	GO:0006355; GO:0009401; GO:0022870	protein-N(PI)-phosphohistidine-mannose phosphotransferase system transporter activity [GO:0022870]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; regulation of DNA-templated transcription [GO:0006355]
O31645	PTN3B_BACSU	PTS system mannose-specific EIIBCA component (EIIBCA-Man) (EII-Man) [Includes: Mannose-specific phosphotransferase enzyme IIB component (EC 2.7.1.191) (PTS system mannose-specific EIIB component); Mannose permease IIC component (PTS system mannose-specific EIIC component); Mannose-specific phosphotransferase enzyme IIA component (PTS system mannose-specific EIIA component)]	manP yjdD BSU12010	Bacillus subtilis (strain 168)	650	GO:0005351; GO:0005886; GO:0009401; GO:0022870; GO:0022877; GO:0090563	plasma membrane [GO:0005886]; carbohydrate:proton symporter activity [GO:0005351]; protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity [GO:0022877]; protein-N(PI)-phosphohistidine-mannose phosphotransferase system transporter activity [GO:0022870]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]
O31662	MTNA_BACSU	Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (S-methyl-5-thioribose-1-phosphate isomerase)	mtnA ykrS BSU13550	Bacillus subtilis (strain 168)	353	GO:0046523	S-methyl-5-thioribose-1-phosphate isomerase activity [GO:0046523]
O31675	QUEC_BACSU	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	queC toyM ykvJ BSU13720	Bacillus subtilis (strain 168)	219	GO:0005524; GO:0008270; GO:0008616; GO:0016879	ATP binding [GO:0005524]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; zinc ion binding [GO:0008270]; tRNA queuosine(34) biosynthetic process [GO:0008616]
O31677	QUEE_BACSU	7-carboxy-7-deazaguanine synthase (CDG synthase) (EC 4.3.99.3) (Queuosine biosynthesis protein QueE)	queE ykvL BSU13740	Bacillus subtilis (strain 168)	243	GO:0000287; GO:0008616; GO:0016840; GO:0042803; GO:0051539; GO:1904047	4 iron, 4 sulfur cluster binding [GO:0051539]; carbon-nitrogen lyase activity [GO:0016840]; magnesium ion binding [GO:0000287]; protein homodimerization activity [GO:0042803]; S-adenosyl-L-methionine binding [GO:1904047]; tRNA queuosine(34) biosynthetic process [GO:0008616]
O31678	QUEF_BACSU	NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.13) (7-cyano-7-carbaguanine reductase) (NADPH-dependent nitrile oxidoreductase) (PreQ(0) reductase)	queF ykvM BSU13750	Bacillus subtilis (strain 168)	165	GO:0005829; GO:0008616; GO:0033739	cytosol [GO:0005829]; preQ1 synthase activity [GO:0033739]; tRNA queuosine(34) biosynthetic process [GO:0008616]
O31691	GLCT_BACSU	PtsGHI operon antiterminator (RNA-binding antitermination protein GlcT)	glcT ykwA BSU13880	Bacillus subtilis (strain 168)	281	GO:0003723; GO:0045893	RNA binding [GO:0003723]; positive regulation of DNA-templated transcription [GO:0045893]
O31718	RPOY_BACSU	DNA-directed RNA polymerase subunit epsilon (RNAP epsilon subunit) (EC 2.7.7.6) (DNA-directed RNA polymerase subunit omega 1) (RNA polymerase epsilon subunit) (RNA polymerase omega 1 subunit) (Transcriptase subunit epsilon) (Transcriptase subunit omega 1)	rpoY ykzG BSU14540	Bacillus subtilis (strain 168)	69	GO:0003677; GO:0003899; GO:0006351; GO:0009295; GO:0034062	nucleoid [GO:0009295]; 5'-3' RNA polymerase activity [GO:0034062]; DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899]; DNA-templated transcription [GO:0006351]
O31749	PYRH_BACSU	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	pyrH smbA BSU16510	Bacillus subtilis (strain 168)	240	GO:0005829; GO:0006225; GO:0033862; GO:0044210	cytosol [GO:0005829]; UMP kinase activity [GO:0033862]; 'de novo' CTP biosynthetic process [GO:0044210]; UDP biosynthetic process [GO:0006225]
O31760	RNJ2_BACSU	Ribonuclease J2 (RNase J2) (EC 3.1.-.-)	rnjB ymfA BSU16780	Bacillus subtilis (strain 168)	555	GO:0003723; GO:0004521; GO:0004532; GO:0004534; GO:0005737; GO:0006364; GO:0006397; GO:0008270	cytoplasm [GO:0005737]; 5'-3' RNA exonuclease activity [GO:0004534]; RNA binding [GO:0003723]; RNA endonuclease activity [GO:0004521]; RNA exonuclease activity [GO:0004532]; zinc ion binding [GO:0008270]; mRNA processing [GO:0006397]; rRNA processing [GO:0006364]
O31774	RNY_BACSU	Ribonuclease Y (RNase Y) (EC 3.1.-.-)	rny ymdA BSU16960	Bacillus subtilis (strain 168)	520	GO:0003723; GO:0004521; GO:0005886; GO:0006402; GO:0042802	plasma membrane [GO:0005886]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]; RNA endonuclease activity [GO:0004521]; mRNA catabolic process [GO:0006402]
O31775	YMDB_BACSU	2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16) (Global regulator YmdB)	ymdB BSU16970	Bacillus subtilis (strain 168)	264	GO:0004113; GO:0005737; GO:0008663	cytoplasm [GO:0005737]; 2',3'-cyclic-nucleotide 2'-phosphodiesterase activity [GO:0008663]; 2',3'-cyclic-nucleotide 3'-phosphodiesterase activity [GO:0004113]
O31854	CDAS_BACSU	Cyclic di-AMP synthase CdaS (c-di-AMP synthase) (EC 2.7.7.85) (Diadenylate cyclase) (DAC)	cdaS dacB yojJ BSU19430	Bacillus subtilis (strain 168)	207	GO:0004016; GO:0005524; GO:0006171; GO:0106408	adenylate cyclase activity [GO:0004016]; ATP binding [GO:0005524]; diadenylate cyclase activity [GO:0106408]; cAMP biosynthetic process [GO:0006171]
O32001	YOKF_BACSU	SPbeta prophage-derived endonuclease YokF (EC 3.1.-.-)	yokF BSU21610	Bacillus subtilis (strain 168)	296	GO:0003676; GO:0004518; GO:0005886	plasma membrane [GO:0005886]; nuclease activity [GO:0004518]; nucleic acid binding [GO:0003676]
O32062	SAFA_BACSU	Spore coat morphogenetic protein SafA (Morphogenetic protein SafA) (SpoVID-associated factor A)	safA yrbA BSU27840	Bacillus subtilis (strain 168)	387	GO:0000270; GO:0008932; GO:0042763; GO:0043595; GO:0051117	endospore cortex [GO:0043595]; intracellular immature spore [GO:0042763]; ATPase binding [GO:0051117]; lytic endotransglycosylase activity [GO:0008932]; peptidoglycan metabolic process [GO:0000270]
O32076	FLOT_BACSU	Flotillin-like protein FloT (Bacterial flotillin homolog YuaG)	floT yuaG yuaH BSU31010	Bacillus subtilis (strain 168)	509	GO:0002020; GO:0005886; GO:0045121; GO:0072659	membrane raft [GO:0045121]; plasma membrane [GO:0005886]; protease binding [GO:0002020]; protein localization to plasma membrane [GO:0072659]
O32131	FISB_BACSU	Fission protein B (Sporulation protein FisB)	fisB yunB BSU32350	Bacillus subtilis (strain 168)	254	GO:0016020	membrane [GO:0016020]
O32141	PUCL_BACSU	Uric acid degradation bifunctional protein PucL [Includes: 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase (OHCU decarboxylase) (EC 4.1.1.97); Uricase (EC 1.7.3.3) (Urate oxidase)]	pucL yunL BSU32450	Bacillus subtilis (strain 168)	494	GO:0000255; GO:0004846; GO:0005777; GO:0006144; GO:0019628; GO:0051997	peroxisome [GO:0005777]; 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase activity [GO:0051997]; urate oxidase activity [GO:0004846]; allantoin metabolic process [GO:0000255]; purine nucleobase metabolic process [GO:0006144]; urate catabolic process [GO:0019628]
O32142	HIUH_BACSU	5-hydroxyisourate hydrolase (HIU hydrolase) (HIUHase) (EC 3.5.2.17) (Transthyretin-related protein) (TRP)	pucM yunM BSU32460	Bacillus subtilis (strain 168)	114	GO:0006144; GO:0019628; GO:0033971; GO:0042802	hydroxyisourate hydrolase activity [GO:0033971]; identical protein binding [GO:0042802]; purine nucleobase metabolic process [GO:0006144]; urate catabolic process [GO:0019628]
O32163	SUFU_BACSU	Zinc-dependent sulfurtransferase SufU (EC 2.-.-.-) (Putative iron-sulfur cluster assembly scaffold protein SufU) (Sulfur acceptor protein SufU)	sufU iscU nifU yurV BSU32680	Bacillus subtilis (strain 168)	147	GO:0006879; GO:0008198; GO:0016226; GO:0051537	2 iron, 2 sulfur cluster binding [GO:0051537]; ferrous iron binding [GO:0008198]; intracellular iron ion homeostasis [GO:0006879]; iron-sulfur cluster assembly [GO:0016226]
O32164	SUFS_BACSU	Cysteine desulfurase SufS (EC 2.8.1.7)	sufS csd yurW BSU32690	Bacillus subtilis (strain 168)	406	GO:0030170; GO:0031071	cysteine desulfurase activity [GO:0031071]; pyridoxal phosphate binding [GO:0030170]
O32215	HELR_BACSU	RNA polymerase recycling motor protein HelD (EC 3.6.4.-) (DNA helicase IV) (NTPase HelD) (Transcription factor HelD) (Transcription recycling factor HelD)	helD yvgS BSU33450	Bacillus subtilis (strain 168)	774	GO:0000725; GO:0003677; GO:0003678; GO:0003711; GO:0005524; GO:0005829	cytosol [GO:0005829]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; transcription elongation factor activity [GO:0003711]; recombinational repair [GO:0000725]
O32219	CADA_BACSU	Cadmium, zinc and cobalt-transporting ATPase (EC 7.2.2.12) (EC 7.2.2.21)	cadA yvgW BSU33490	Bacillus subtilis (strain 168)	702	GO:0005524; GO:0005886; GO:0008551; GO:0015086; GO:0016463; GO:0016887; GO:0030001; GO:0046872; GO:0055085	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; cadmium ion transmembrane transporter activity [GO:0015086]; metal ion binding [GO:0046872]; P-type cadmium transporter activity [GO:0008551]; P-type zinc transporter activity [GO:0016463]; metal ion transport [GO:0030001]; transmembrane transport [GO:0055085]
O32220	COPA_BACSU	Copper-exporting P-type ATPase (Protein CopA) (EC 7.2.2.8) (Copper-exporting P-type ATPase A) (Cu(+)-exporting ATPase)	copA yvgX BSU33500	Bacillus subtilis (strain 168)	802	GO:0005507; GO:0005524; GO:0005886; GO:0016887; GO:0042802; GO:0140581	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; copper ion binding [GO:0005507]; identical protein binding [GO:0042802]; P-type monovalent copper transporter activity [GO:0140581]
O32223	IOLW_BACSU	scyllo-inositol 2-dehydrogenase (NADP(+)) IolW (EC 1.1.1.371) (NADP(+)-dependent scyllo-inositol dehydrogenase 1) (NADP(+)-dependent SI dehydrogenase 1)	iolW yvaA BSU33530	Bacillus subtilis (strain 168)	358	GO:0005829; GO:0017000; GO:0070401; GO:0070402; GO:0102497	cytosol [GO:0005829]; NADP+ binding [GO:0070401]; NADPH binding [GO:0070402]; scyllo-inositol dehydrogenase (NADP+) activity [GO:0102497]; antibiotic biosynthetic process [GO:0017000]
O32224	AZOR2_BACSU	FMN-dependent NADH:quinone oxidoreductase 2 (EC 1.6.5.-) (Azo-dye reductase 2) (FMN-dependent NADH-azo compound oxidoreductase 2) (FMN-dependent NADH-azoreductase 2) (EC 1.7.1.17)	azoR2 yvaB BSU33540	Bacillus subtilis (strain 168)	211	GO:0009055; GO:0010181; GO:0016652; GO:0016655	electron transfer activity [GO:0009055]; FMN binding [GO:0010181]; oxidoreductase activity, acting on NAD(P)H as acceptor [GO:0016652]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]
